
央视IPV6,#genre#
四川峨眉山云海日出,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
四川西昌邛海景区,https://gcalic.v.myalicdn.com/gc/xcqh01_1/index.m3u8
四川阿坝黄龙五彩池,https://gcalic.v.myalicdn.com/gc/hlwcc_1/index.m3u8
四川乐山峨眉山普贤菩萨,http://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8
四川成都天府熊猫塔,https://gcalic.v.myalicdn.com/gc/lhszjsp_1/index.m3u8
四川成都春熙路太古里,https://gcalic.v.myalicdn.com/gc/lhssjzd_1/index.m3u8
四川甘孜州石渠县,https://gcalic.v.myalicdn.com/gc/dlst02_1/index.m3u8
四川绵阳北川县新生广场,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
四川成都东安湖体育公园,https://gcalic.v.myalicdn.com/gc/btq01_1/index.m3u8
四川汶川映秀新城,https://gcalic.v.myalicdn.com/gc/wcyxxc01_1/index.m3u8
四川重庆李子坝,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
四川成都环球中心,https://gcalic.v.myalicdn.com/gc/jsh02_1/index.m3u8
山东泰山南天门,https://gcalic.v.myalicdn.com/gc/hkts07_1/index.m3u8
山东泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
山东泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8
山东泰山望人松,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
山东泰山天街,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8
山东济南大明湖超然楼,https://gcalic.v.myalicdn.com/gc/zsslsgc_1/index.m3u8
山东济南趵突泉,https://gcalic.v.myalicdn.com/gc/hnttdysjd_1/index.m3u8
山东济宁泗水县龙湾湖,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
山东济南章丘三涧溪村,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8
山东雷州调风英楼渡头,https://gcalic.v.myalicdn.com/gc/xdfjq01_1/index.m3u8
山东济南七星天文台,https://gcalic.v.myalicdn.com/gc/hkylxs04_1/index.m3u8
山西太原汾河畔,https://gcalic.v.myalicdn.com/gc/pygc01_1/index.m3u8
上海南浦大桥,https://gcalic.v.myalicdn.com/gc/tjhh01_1/index.m3u8
福建武夷山玉女峰,http://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8
福建宁德太姥山景区,https://gcalic.v.myalicdn.com/gc/tms01_1/index.m3u8
福建福州罗源县吉壁码头,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
青海祁连山国家公园,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
青海门源仙米国家森林公园,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
青海玉树州卓乃湖,https://gcalic.v.myalicdn.com/gc/tyhjntyz_1/index.m3u8
青海海北州迖坂山,https://gcalic.v.myalicdn.com/gc/dhyyqsm_1/index.m3u8
海南五指山,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
海南热带雨林国家公园五指山片区,https://gcalic.v.myalicdn.com/gc/hkts08_1/index.m3u8
新疆伊犁巩留县蝶湖公园,https://gcalic.v.myalicdn.com/gc/hgsylztpb_1/index.m3u8
新疆天山天池马牙山,https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
新疆天山(海西平台),https://gcalic.v.myalicdn.com/gc/xjtchxpt_1/index.m3u8
新疆阜康天山天池,https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8
西藏墨脱达木珞巴民族乡,http://gcalic.v.myalicdn.com/gc/gccntv240-lzb01_1/index.m3u8
西藏墨脱海市蜃楼观景台,https://gcalic.v.myalicdn.com/gc/nxsptdmgy_1/index.m3u8
西藏日喀则珠穆朗玛峰,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
河南云台山百家岩,https://gcalic.v.myalicdn.com/gc/ytsbjy_1/index.m3u8
河南云台山红石峡,https://gcalic.v.myalicdn.com/gc/ytshsx_1/index.m3u8
河南云台山茱萸峰,https://gcalic.v.myalicdn.com/gc/ytszyf_1/index.m3u8
河南平顶山画眉谷,https://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8
河南信阳新茶村,https://gcalic.v.myalicdn.com/gc/xjtcdgs_1/index.m3u8
河南安阳万泉湖景区,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
河南焦作红石峡,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
河南安阳太行大峡谷,https://gcalic.v.myalicdn.com/gc/hkts04_1/index.m3u8
河南南阳方城德云山景区,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
河南商丘永城市日月湖景区,https://gcalic.v.myalicdn.com/gc/hgsylztpb_1/index.m3u8
河南商丘古城南门,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
河南洛阳新安万山湖,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
河南郑东新区千玺广场,https://gcalic.v.myalicdn.com/gc/zdxq01_1/index.m3u8
河南安阳太行天路,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
河南平顶山尧山风景区,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8?
河南信阳固始县黄岭村,https://gcalic.v.myalicdn.com/gc/hsxhdxg_1/index.m3u8?
河北承德金山岭长城,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
河北承德塞罕坝,https://gcalic.v.myalicdn.com/gc/bgwn10_1/index.m3u8
河北承德避暑山庄龙泉公园,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
河北张家口沽源库伦淖尔度假区,https://gcalic.v.myalicdn.com/gc/wygjt1_1/index.m3u8
陕西西安大雁塔,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
陕西西安阎良关山石川河风景区,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
陕西华山,https://gcalic.v.myalicdn.com/gc/hkhs01_1/index.m3u8
陕西延安宝塔山,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
陕西西安长安三河水库,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
陕西汉中朱鹮自然保护区,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
广东中山幻彩摩天轮,https://gcalic.v.myalicdn.com/gc/hlwxt_1/index.m3u8
广东珠海大剧院,https://gcalic.v.myalicdn.com/gc/dxsdtts_1/index.m3u8
广东汕尾金町湾,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8
广东珠海情侣路河滨公园,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
广东珠海港珠澳大桥风帆塔,https://gcalic.v.myalicdn.com/gc/qdls04_1/index.m3u8
广东阳江海陵岛,https://gcalic.v.myalicdn.com/gc/sgns01_1/index.m3u8
广西玉林大容山莲花山顶,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
广西桂林漓江景区,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
江西南昌滕王阁 ,https://gcalic.v.myalicdn.com/gc/nxsptdmgychlr_1/index.m3u8
甘肃敦煌鸣沙山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
甘肃嘉峪关关城景区,https://gcalic.v.myalicdn.com/gc/dxssyt_1/index.m3u8
甘肃兰州中山桥,https://gcalic.v.myalicdn.com/gc/ylh03_1/index.m3u8
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
贵州贵阳甲秀楼,https://gcalic.v.myalicdn.com/gc/hkylxs02_1/index.m3u8
黑龙江大兴安岭龙江第一湾风景区,https://gcalic.v.myalicdn.com/gc/taishan04_1/index.m3u8
黑龙江哈尔滨霁虹桥,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
黑龙江哈尔滨圣·索菲亚教堂,https://gcalic.v.myalicdn.com/gc/ytszyf_1/index.m3u8
辽宁大连星海广场,https://gcalic.v.myalicdn.com/gc/hhdxg01_1/index.m3u8
辽宁沈阳浑河桥,https://gcalic.v.myalicdn.com/gc/ljgcdsc_1/index.m3u8
吉林牡丹江镜泊湖,https://gctxyc.liveplay.myqcloud.com/gc/jyg04_1/index.m3u8?
吉林临江门大桥,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
宁夏黄河大峡谷,https://gcalic.v.myalicdn.com/gc/hhdxg01_1/index.m3u8
宁夏中卫沙坡头,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8
宁夏固原将台堡,https://gcalic.v.myalicdn.com/gc/hlxsd_1/index.m3u8
宁夏吴忠青铜峡金沙湾,https://gcalic.v.myalicdn.com/gc/hkts06_1/index.m3u8
深圳世界之窗文化主题公园,https://gcalic.v.myalicdn.com/gc/sjzc01_1/index.m3u8
中央电视塔北,https://gcalic.v.myalicdn.com/gc/ztb_1/index.m3u8
天涯鸟瞰,https://gcalic.v.myalicdn.com/gc/tyhjtynl_1/index.m3u8
